epoch,model_name,model_size,patch_size,window_size,image_size,difficulty_bonus,train_weighted_log_loss,validation_weighted_log_loss,train_weighted_f1,validation_weighted_f1,train_weighted_accuracy,validation_weighted_accuracy
2,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.6649477413154186,0.7857084759572174,0.5394071431548971,0.43418803418803414,0.6502313817500401,0.4965673271961304
3,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.6653888485186282,0.7072357112022242,0.5499672110278727,0.43050545513599703,0.6305055360322248,0.5213371820876892
4,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.6780985651982471,0.6486310483702524,0.5446904505804577,0.5902740937223696,0.6385296682533338,0.6911374629427367
5,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.6545594345922764,0.8420614493335371,0.5814935054109072,0.37445346124489315,0.6492261753362367,0.41121859884537365
6,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.6593491359187235,0.7755734260478959,0.5714090115653868,0.43050545513599703,0.6373580953765177,0.5213371820876892
7,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.643184849064395,0.7855175002255042,0.6018687537203226,0.32552587203643635,0.6876726603580642,0.3378062100171634
8,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.6064595751690527,0.7267425847368819,0.6232069396148898,0.484268674975151,0.712160973178923,0.5511780308940551
9,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5868864752118471,0.7311510698462147,0.6840135123249269,0.5391362011302041,0.7531966498310381,0.636526759244812
10,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5814956239784845,0.7953563185259674,0.6426644920070304,0.473209549071618,0.7395747143739585,0.545209861132782
11,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5639784990559363,0.7103809238867224,0.7058075368564941,0.6301270911167555,0.7695776471992816,0.6783039475737245
12,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5455816373718347,0.6516635340558702,0.6961333510558111,0.6002040155851408,0.7812793606959879,0.6356295833983461
13,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5562016226928542,0.5969946601944845,0.7188849272654754,0.6406996423062993,0.778520298784824,0.7764861912934935
14,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5578249991770313,0.6257407500417407,0.7036340139150788,0.5900624022308372,0.7842879723016709,0.7218754875955686
15,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5006884965145514,0.7602431303424588,0.7338387994426298,0.5239403153616778,0.8117848967282126,0.5998205648307068
16,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5236215509325269,0.8311380831335101,0.7313559546874888,0.5007308845577212,0.8029254283741766,0.5878842253081604
17,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.493637619355621,0.8392332134887674,0.7385673755420629,0.5605942862361998,0.8096116212554567,0.6177250741145264
18,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.4433790750360441,0.4626556971759545,0.7607775446375549,0.7013956572697551,0.8458848308045284,0.7696208456857543
19,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5865506938108859,0.4680405908499924,0.7029727533371061,0.6785207325898467,0.7607181788452454,0.825128725230145
20,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.4225381968458204,0.7329902023407975,0.7951159631679156,0.6301270911167555,0.8704563268568937,0.6783039475737245
21,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.45105265422033974,0.7277502502928292,0.7699392904770153,0.6166005085049345,0.8452158611346139,0.7030738024652832
22,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.5260362784729533,0.8561886521793065,0.7664323058644824,0.5905384051018681,0.8238193431509444,0.5741535340926821
23,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.46079495971158946,0.448466221614482,0.8024366665541128,0.7606704707226064,0.8402835237506943,0.8242315493836793
24,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.40759349369550174,0.5962242011677239,0.8081233421750663,0.6406996423062993,0.8749692442654181,0.7764861912934935
25,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.4084049894405709,0.9181002419417016,0.8183188438558207,0.5557822395390454,0.8743002745955036,0.5869870494616944
26,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.3955121448817321,0.6058061273759736,0.8274168494361847,0.6713401540987748,0.8773088862011866,0.7576845061632079
27,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.42615720765644727,0.4367789910332132,0.8109803589062976,0.7867111837641108,0.859506766261608,0.8669059135590576
28,microsoft/swinv2-tiny-patch4-window16-256,tiny,4,16,256,0.01,0.49273892607660963,0.6135293144216232,0.7922481113252633,0.6861387758829999,0.849059808873224,0.7636526759244812
